Tempo_s;Setpoint;Temperatura_C;Potencia_PWM;Erro_Absoluto;Status_Estabilidade
52,0;50,0;50,41;0,0;0,41;Estável
53,0;50,0;50,09;4,0;0,09;Estável
54,0;50,0;49,94;5,0;0,06;Estável
55,0;50,0;49,95;4,0;0,05;Estável
56,0;50,0;49,99;4,0;0,01;Estável
57,0;50,0;49,81;7,0;0,19;Estável
58,0;50,0;49,99;4,0;0,01;Estável
59,0;50,0;50,06;3,0;0,06;Estável
60,0;50,0;49,71;9,0;0,29;Estável
61,0;50,0;49,83;6,0;0,17;Estável
62,0;50,0;49,61;10,0;0,39;Estável
63,0;50,0;49,39;13,0;0,61;Estável
64,0;50,0;49,84;6,0;0,16;Estável
65,0;50,0;49,87;7,0;0,13;Estável
66,0;50,0;49,76;9,0;0,24;Estável
67,0;50,0;49,62;11,0;0,38;Estável
68,0;50,0;49,54;12,0;0,46;Estável
69,0;50,0;49,66;10,0;0,34;Estável
70,0;50,0;49,88;7,0;0,12;Estável
71,0;50,0;49,58;13,0;0,42;Estável
72,0;50,0;49,87;8,0;0,13;Estável
73,0;50,0;49,78;10,0;0,22;Estável
74,0;50,0;49,8;10,0;0,2;Estável
75,0;50,0;49,49;15,0;0,51;Estável
76,0;50,0;49,53;14,0;0,47;Estável
77,0;50,0;50,08;5,0;0,08;Estável
78,0;50,0;49,74;12,0;0,26;Estável
79,0;50,0;49,82;10,0;0,18;Estável
80,0;50,0;50,02;8,0;0,02;Estável
81,0;50,0;50,14;6,0;0,14;Estável
82,0;50,0;50,42;2,0;0,42;Estável
83,0;50,0;49,53;17,0;0,47;Estável
84,0;50,0;50,09;5,0;0,09;Estável
85,0;50,0;49,83;11,0;0,17;Estável
86,0;50,0;49,95;9,0;0,05;Estável
87,0;50,0;49,86;11,0;0,14;Estável
88,0;50,0;50,17;5,0;0,17;Estável
89,0;50,0;49,98;9,0;0,02;Estável
90,0;50,0;49,82;11,0;0,18;Estável
91,0;50,0;50,03;7,0;0,03;Estável
92,0;50,0;50,03;8,0;0,03;Estável
93,0;50,0;50,03;8,0;0,03;Estável
94,0;50,0;49,81;12,0;0,19;Estável
95,0;50,0;50,18;5,0;0,18;Estável
96,0;50,0;50,2;6,0;0,2;Estável
97,0;50,0;49,91;10,0;0,09;Estável
98,0;50,0;50,18;5,0;0,18;Estável
99,0;50,0;50,23;5,0;0,23;Estável
100,0;50,0;50,17;6,0;0,17;Estável
101,0;50,0;49,96;9,0;0,04;Estável
102,0;50,0;49,72;12,0;0,28;Estável
103,0;50,0;50,16;5,0;0,16;Estável
104,0;50,0;49,95;9,0;0,05;Estável
105,0;50,0;50,17;5,0;0,17;Estável
106,0;50,0;49,83;11,0;0,17;Estável
107,0;50,0;49,66;13,0;0,34;Estável
108,0;50,0;49,83;10,0;0,17;Estável
109,0;50,0;50,0;8,0;0,0;Estável
110,0;50,0;49,87;11,0;0,13;Estável
111,0;50,0;50,14;6,0;0,14;Estável
112,0;50,0;49,83;12,0;0,17;Estável
113,0;50,0;50,26;4,0;0,26;Estável
114,0;50,0;50,35;3,0;0,35;Estável
115,0;50,0;50,12;7,0;0,12;Estável
116,0;50,0;49,87;11,0;0,13;Estável
117,0;50,0;49,79;11,0;0,21;Estável
118,0;50,0;50,19;4,0;0,19;Estável
119,0;50,0;50,03;8,0;0,03;Estável
120,0;50,0;50,2;5,0;0,2;Estável
121,0;50,0;49,9;10,0;0,1;Estável
122,0;50,0;49,92;9,0;0,08;Estável
123,0;50,0;50,37;2,0;0,37;Estável
124,0;50,0;49,91;11,0;0,09;Estável
125,0;50,0;49,66;13,0;0,34;Estável
126,0;50,0;50,04;6,0;0,04;Estável
127,0;50,0;49,96;9,0;0,04;Estável
128,0;50,0;49,69;13,0;0,31;Estável
129,0;50,0;50,19;4,0;0,19;Estável
130,0;50,0;50,0;9,0;0,0;Estável
131,0;50,0;49,65;14,0;0,35;Estável
132,0;50,0;50,05;7,0;0,05;Estável
133,0;50,0;50,04;8,0;0,04;Estável
134,0;50,0;50,12;7,0;0,12;Estável
135,0;50,0;49,76;13,0;0,24;Estável
136,0;50,0;50,3;3,0;0,3;Estável
137,0;50,0;50,03;9,0;0,03;Estável
138,0;50,0;50,1;7,0;0,1;Estável
139,0;50,0;49,88;10,0;0,12;Estável
140,0;50,0;50,38;2,0;0,38;Estável
141,0;50,0;49,71;14,0;0,29;Estável
142,0;50,0;49,82;10,0;0,18;Estável
143,0;50,0;50,4;1,0;0,4;Estável
144,0;50,0;50,29;5,0;0,29;Estável
145,0;50,0;49,72;13,0;0,28;Estável
146,0;50,0;50,13;5,0;0,13;Estável
147,0;50,0;49,77;12,0;0,23;Estável
148,0;50,0;49,6;14,0;0,4;Estável
149,0;50,0;50,04;6,0;0,04;Estável
150,0;50,0;49,68;14,0;0,32;Estável
151,0;50,0;49,87;10,0;0,13;Estável
152,0;50,0;50,3;3,0;0,3;Estável
153,0;50,0;49,99;10,0;0,01;Estável
154,0;50,0;49,95;9,0;0,05;Estável
155,0;50,0;49,75;13,0;0,25;Estável
156,0;50,0;50,31;3,0;0,31;Estável
157,0;50,0;50,08;8,0;0,08;Estável
158,0;50,0;49,87;11,0;0,13;Estável
159,0;50,0;50,04;7,0;0,04;Estável
160,0;50,0;50,4;2,0;0,4;Estável
161,0;50,0;50,27;5,0;0,27;Estável
162,0;50,0;49,78;12,0;0,22;Estável
163,0;50,0;49,7;12,0;0,3;Estável
164,0;50,0;49,7;12,0;0,3;Estável
165,0;50,0;50,14;5,0;0,14;Estável
166,0;50,0;50,19;6,0;0,19;Estável
167,0;50,0;49,54;16,0;0,46;Estável
168,0;50,0;49,96;8,0;0,04;Estável
169,0;50,0;50,11;7,0;0,11;Estável
170,0;50,0;50,16;6,0;0,16;Estável
171,0;50,0;50,14;7,0;0,14;Estável
172,0;50,0;50,25;5,0;0,25;Estável
173,0;50,0;50,15;7,0;0,15;Estável
174,0;50,0;50,21;5,0;0,21;Estável
175,0;50,0;50,27;4,0;0,27;Estável
176,0;50,0;49,92;10,0;0,08;Estável
177,0;50,0;50,36;2,0;0,36;Estável
178,0;50,0;49,97;9,0;0,03;Estável
179,0;50,0;49,94;8,0;0,06;Estável
180,0;50,0;49,6;14,0;0,4;Estável
181,0;50,0;49,56;14,0;0,44;Estável
182,0;50,0;50,02;6,0;0,02;Estável
183,0;50,0;49,75;12,0;0,25;Estável
184,0;50,0;50,1;6,0;0,1;Estável
185,0;50,0;50,13;7,0;0,13;Estável
186,0;50,0;50,0;9,0;0,0;Estável
187,0;50,0;50,32;3,0;0,32;Estável
188,0;50,0;50,01;9,0;0,01;Estável
189,0;50,0;49,6;15,0;0,4;Estável
190,0;50,0;50,05;6,0;0,05;Estável
191,0;50,0;50,09;7,0;0,09;Estável
192,0;50,0;49,66;14,0;0,34;Estável
193,0;50,0;50,0;7,0;0,0;Estável
194,0;50,0;49,8;12,0;0,2;Estável
195,0;50,0;50,16;5,0;0,16;Estável
196,0;50,0;49,96;10,0;0,04;Estável
197,0;50,0;50,4;2,0;0,4;Estável
198,0;50,0;49,55;17,0;0,45;Estável
199,0;50,0;49,94;8,0;0,06;Estável
200,0;50,0;49,87;11,0;0,13;Estável
201,0;50,0;50,27;4,0;0,27;Estável
202,0;50,0;49,81;12,0;0,19;Estável
203,0;50,0;50,2;5,0;0,2;Estável
204,0;50,0;49,91;11,0;0,09;Estável
205,0;50,0;49,87;10,0;0,13;Estável
206,0;50,0;50,37;2,0;0,37;Estável
207,0;50,0;49,83;12,0;0,17;Estável
208,0;50,0;50,21;5,0;0,21;Estável
209,0;50,0;50,11;7,0;0,11;Estável
210,0;50,0;50,56;0,0;0,56;Estável
211,0;50,0;50,12;8,0;0,12;Estável
212,0;50,0;49,66;14,0;0,34;Estável
213,0;50,0;49,95;8,0;0,05;Estável
214,0;50,0;49,99;8,0;0,01;Estável
215,0;50,0;50,03;8,0;0,03;Estável
216,0;50,0;49,76;12,0;0,24;Estável
217,0;50,0;50,15;5,0;0,15;Estável
218,0;50,0;50,0;9,0;0,0;Estável
219,0;50,0;49,91;10,0;0,09;Estável
220,0;50,0;50,08;7,0;0,08;Estável
221,0;50,0;49,73;13,0;0,27;Estável
222,0;50,0;49,93;9,0;0,07;Estável
223,0;50,0;49,95;9,0;0,05;Estável
224,0;50,0;49,71;13,0;0,29;Estável
225,0;50,0;50,15;5,0;0,15;Estável
226,0;50,0;50,03;9,0;0,03;Estável
227,0;50,0;50,03;8,0;0,03;Estável
228,0;50,0;50,32;3,0;0,32;Estável
229,0;50,0;49,6;16,0;0,4;Estável
230,0;50,0;49,87;9,0;0,13;Estável
231,0;50,0;50,1;7,0;0,1;Estável
232,0;50,0;49,91;10,0;0,09;Estável
233,0;50,0;50,17;6,0;0,17;Estável
234,0;50,0;50,59;0,0;0,59;Estável
235,0;50,0;50,02;10,0;0,02;Estável
236,0;50,0;49,87;10,0;0,13;Estável
237,0;50,0;49,79;11,0;0,21;Estável
238,0;50,0;50,04;7,0;0,04;Estável
239,0;50,0;49,8;12,0;0,2;Estável
240,0;50,0;49,9;9,0;0,1;Estável
241,0;50,0;50,31;3,0;0,31;Estável
242,0;50,0;50,04;9,0;0,04;Estável
243,0;50,0;50,4;2,0;0,4;Estável
244,0;50,0;49,86;11,0;0,14;Estável
245,0;50,0;49,75;12,0;0,25;Estável
246,0;50,0;50,06;6,0;0,06;Estável
247,0;50,0;49,94;9,0;0,06;Estável
248,0;50,0;49,98;8,0;0,02;Estável
249,0;50,0;49,82;11,0;0,18;Estável
250,0;50,0;49,9;9,0;0,1;Estável
251,0;50,0;50,04;7,0;0,04;Estável
252,0;50,0;50,12;7,0;0,12;Estável
253,0;50,0;49,9;10,0;0,1;Estável
254,0;50,0;49,89;10,0;0,11;Estável
255,0;50,0;49,97;9,0;0,03;Estável
256,0;50,0;50,14;6,0;0,14;Estável
257,0;50,0;50,07;8,0;0,07;Estável
258,0;50,0;49,66;14,0;0,34;Estável
259,0;50,0;49,72;12,0;0,28;Estável
260,0;50,0;49,84;11,0;0,16;Estável
261,0;50,0;50,02;8,0;0,02;Estável
262,0;50,0;50,08;8,0;0,08;Estável
263,0;50,0;50,33;4,0;0,33;Estável
264,0;50,0;49,9;11,0;0,1;Estável
265,0;50,0;50,25;4,0;0,25;Estável
266,0;50,0;49,93;10,0;0,07;Estável
267,0;50,0;50,29;4,0;0,29;Estável
268,0;50,0;49,95;10,0;0,05;Estável
269,0;50,0;50,29;3,0;0,29;Estável
270,0;50,0;49,97;10,0;0,03;Estável
271,0;50,0;49,88;10,0;0,12;Estável
272,0;50,0;50,07;7,0;0,07;Estável
273,0;50,0;50,01;8,0;0,01;Estável
274,0;50,0;49,88;10,0;0,12;Estável
275,0;50,0;49,76;12,0;0,24;Estável
276,0;50,0;50,07;7,0;0,07;Estável
277,0;50,0;50,13;7,0;0,13;Estável
278,0;50,0;49,77;13,0;0,23;Estável
279,0;50,0;50,45;0,0;0,45;Estável
280,0;50,0;50,07;8,0;0,07;Estável
281,0;50,0;49,85;11,0;0,15;Estável
282,0;50,0;49,96;8,0;0,04;Estável
283,0;50,0;49,98;9,0;0,02;Estável
284,0;50,0;50,21;5,0;0,21;Estável
285,0;50,0;49,8;12,0;0,2;Estável
286,0;50,0;49,86;10,0;0,14;Estável
287,0;50,0;49,86;10,0;0,14;Estável
288,0;50,0;50,1;6,0;0,1;Estável
289,0;50,0;49,98;9,0;0,02;Estável
290,0;50,0;50,21;5,0;0,21;Estável
291,0;50,0;50,21;6,0;0,21;Estável
292,0;50,0;49,86;11,0;0,14;Estável
293,0;50,0;49,97;8,0;0,03;Estável
294,0;50,0;50,28;4,0;0,28;Estável
295,0;50,0;49,8;12,0;0,2;Estável
296,0;50,0;50,02;7,0;0,02;Estável
297,0;50,0;50,36;2,0;0,36;Estável
298,0;50,0;49,75;13,0;0,25;Estável
299,0;50,0;50,02;7,0;0,02;Estável
